CASE_NO,DECISION_DATE,NPC_SUBMITTED_DATE,CASE_STATUS,ALIEN_WORK_STATE,CERTIFICATION_BEGIN_DATE,CERTIFICATION_END_DATE,EMPLOYER_NAME,EMPLOYER_ADDRESS1,EMPLOYER_ADDRESS2,EMPLOYER_CITY,EMPLOYER_STATE,EMPLOYER_POSTAL_CODE,AGENT_ATTORNEY_NAME,AGENT_ATTORNEY_ADDRESS,AGENT_ATTORNEY_CITY,AGENT_ATTORNEY_STATE,JOB_TITLE,NBR_WORKERS_CERTIFIED,PREVAILING_WAGE,PW_UNIT_OF_PAY,BASIC_RATE_OF_PAY,BASIC_UNIT_OF_PAY
C-07310-29237,12/10/07,11/6/07,CERTIFIED,AR,2/1/08,11/30/08,SOUTHERNS BEST LAWN SPRINKLER,P.O.BOX 27,,DEWITT,AR,72042,BECKY DASHER,USA WORKS.... FOR YOU,LAKE PARK,GA,"LABORER, LANDSCAPE",14,6.05,HR,6.55,HR
A-07319-29689,12/10/07,11/15/07,CERTIFIED,NJ,2/15/08,12/15/08,LANDSCAPES BY MAPLE LEAF,P.O. BOX 146,,NORTHVALE,NJ,07647,FEDERATION OF EMPLOYERS AND,WORKERS  OF AMERICA,BAY CITY,TX,"LABORER, LANDSCAPE",12,8.55,HR,8.55,HR
C-07334-30809,12/10/07,11/29/07,CERTIFIED,TX,2/18/08,12/18/08,LMI LANDSCAPES INC,1437 HALSEY WAY,,CARROLLTON,TX,75007,FEDERATION OF EMPLOYERS AND,WORKERS  OF AMERICA,BAY CITY,TX,"LABORER, LANDSCAPE",150,7.27,HR,7.27,HR
A-07323-29965,12/10/07,11/16/07,CERTIFIED,NY,2/1/08,11/25/08,"FRANK A. ALEXANDER RACING STABLES, INC.",84 WESTWOOD CIRCLE,,EAST HILLS,NY,11577,"INTERNATIONAL PERSONNEL RESOURCES, INC.",PO BOX 1507,WEST CHESTER,PA,STABLE ATTENDANT,6,7.73,HR,7.73,HR
A-07323-29970,12/10/07,11/16/07,CERTIFIED,NY,2/1/08,11/25/08,HERIBERTO CEDANO RACING STABLE,P.O. BOX 357,,ELMONT,NY,11003,"INTERNATIONAL PERSONNEL RESOURCES, INC.",PO BOX 1507,WEST CHESTER,PA,STABLE ATTENDANT,7,7.73,HR,7.73,HR
A-07323-29971,12/10/07,11/16/07,CERTIFIED,NY,2/1/08,11/7/08,"J.J. TONER RACING STABLE, INC.",4 ASH LANE,,VALLEY STREAM,NY,11581,"INTERNATIONAL PERSONNEL RESOURCES, INC.",PO BOX 1507,WEST CHESTER,PA,STABLE ATTENDANT,15,7.73,HR,7.73,HR
A-07334-30814,12/10/07,11/28/07,PARTIAL CERTIFIED,TN,2/15/08,12/15/08,"GREG TOULIATOS & ASSOCIATES, INC.",62 FLICKER ST,,MEMPHIS,TN,38104,FEDERATION OF EMPLOYERS AND WORKERS OF AMERICA,2901 BUCKS BAYOU ROAD,BAY CITY,TX,"LABORER, LANDSCAPE",35,7.96,HR,7.96,HR
C-07320-29818,12/10/07,11/15/07,CERTIFIED,LA,2/1/08,11/30/08,"HYDROSCAPES, LLC",17866 JEFERSON RIDGE ROAD,,BATON ROUGE,LA,70817,"AMIGOS LABOR SOLUTIONS, INC.","3141 HOOD STREET, SUITE 440",DALLAS,TX,"LABORER, LANDSCAPE",17,6.75,HR,6.8,HR
A-07323-29975,12/10/07,11/16/07,CERTIFIED,NY,2/1/08,11/25/08,"JOHN P. TERRANOVA  RACING  STABLES, INC.",12 THE SPUR,,SYOSSET,NY,11791,"INTERNATIONAL PERSONNEL RESOURCES, INC.",PO BOX 1507,WEST CHESTER,PA,STABLE ATTENDANT,5,7.73,HR,7.73,HR
C-07325-30204,12/10/07,11/21/07,CERTIFIED,CO,2/1/08,11/30/08,"MASTERCRAFT CONCRETE CONTRACTING, LLC",595 CLOMAN BLVD,,PAGOSA SPRINGS,CO,81147,"ALCALA LAW FIRM, PC",1380 W INDIANA AVE,SALT LAKE CITY,UT,CONSTRUCTION WORKER I,15,9.94,HR,9.94,HR
A-07323-29978,12/10/07,11/16/07,CERTIFIED,NY,2/1/08,11/25/08,"MOTT THOROUGHBRED STABLES, INC.",11 MANNING COVE RD.,,MALTA,NY,12020,"MICHAEL T. GLAH, INTERNATIONAL PERSONNEL RESOURCES",PO BOX 1507,WEST CHESTER,PA,STABLE ATTENDANT,25,7.73,HR,7.73,HR
C-07339-31267,12/10/07,12/3/07,CERTIFIED,OH,2/20/08,12/15/08,MCCALLISTER'S LANDSCPING & SUPPLY INC,2519 N. RIDGE RD,,PAINESVILLE,OH,44077,"BRANISLAV HRUZ, ESQ","1900 SUPERIOR AVE,",CLEVELAND,OH,"LABORER, LANDSCAPE",10,7.54,HR,7.54,HR
A-07323-29979,12/10/07,11/16/07,CERTIFIED,NY,2/1/08,11/25/08,"WEAVER RACING, INC",P.O. BOX 17456,,LOUISVILLE,KY,40217,"INTERNATIONAL PERSONNEL RESOURCES, INC.",P.O.  BOX 1507,WEST CHESTER,PA,STABLE ATTENDANT,29,7.73,HR,7.73,HR
A-07318-29591,12/10/07,11/13/07,CERTIFIED,PA,2/20/08,12/15/08,TEXTER MOUNTAIN NURSERY AND LANDSCAPING INC.,875 W. SWARTZVILLE RD.,,REINHOLDS,PA,17569,"BRANISLAV HRUZ, ESQ","1900 SUPERIOR AVE.,",CLEVELAND,OH,"LABORER, LANDSCAPE",6,8.52,HR,8.52,HR
A-07323-29984,12/10/07,11/16/07,CERTIFIED,NY,2/1/08,11/25/08,"BRUCE N. LEVINE TRAINING STABLE, INC",ONE PALMER TERRACE,,GANSEVOORT,NY,12831,"INTERNATIONAL PERSONNEL RESOURCES, INC.",P.O.  BOX 1507,WEST CHESTER,PA,STABLE ATTENDANT,10,7.73,HR,7.73,HR
C-07339-31349,12/10/07,12/3/07,CERTIFIED,TX,2/1/08,11/30/08,AR BROTHERS CONSTRUCTION SERVICES,801 NORTH MILAM STREET,,SAN AUGUSTINE,TX,75972,USA WORKS FOR YOU/MATT TOURTELLOTT,500 OCEAN POND ROAD,LAKE PARK,GA,CONSTRUCTION WORKER I,50,7.66,HR,7.66,HR
A-07337-30934,12/10/07,11/29/07,CERTIFIED,MD,2/15/08,12/15/08,"IVY HILL NURSERY CO., INC.",1305 ENTERPRISE COURT,,BEL AIR,MD,21015,AMIGOS LABOR SOLUTIONS,3141 HOOD STREET,DALLAS,TX,"LABORER, LANDSCAPE",58,8.45,HR,8.48,HR
A-07323-29985,12/10/07,11/16/07,CERTIFIED,NY,2/1/08,11/25/08,"RICHARD E. SCHOSBERG RACING STABLE, INC.",P.O. BOX 5150,,SARATOGA SPRINGS,NY,12866,"INTERNATIONAL PERSONNEL RESOURCES, INC.",P.O.  BOX 1507,WEST CHESTER,PA,STABLE ATTENDANT,8,7.73,HR,7.73,HR
A-07324-30058,12/10/07,7/19/07,PARTIAL CERTIFIED,PR,3/1/08,12/20/08,"RAFFERTY PAINTING AND POWERWASHING, INC",6948 MARSHALL RD.,,UPPER DARBY,PA,19082,CARL HEMPHILL,MJC LABOR SOLUTIONS LLC,UPPER DARBY,PA,"PAINTER HELPER, SPRAY",7,7.89,HR,7.89,HR
A-07323-29987,12/10/07,11/16/07,CERTIFIED,NY,2/1/08,11/25/08,"MARK HENNING RACING STABLE, INC.",119 SALISURY AVENUE,,GARDEN CITY,NY,11530,"INTERNATIONAL PERSONNEL RESOURCES, INC",P.O. BOX 1507,WEST CHESTER,PA,STABLE ATTENDANT,19,7.73,HR,7.73,HR
A-07334-30834,12/10/07,11/29/07,CERTIFIED,VA,2/13/08,11/30/08,"AUGUSTA LUMBER, LLC",567 N. CHARLOTTE AVE ( P.O. BOX 1528),,WAYNESBORO,VA,22980,"MAS LABOR H2B, LLC  ELIZABETH D. WHITLEY",650 FRONT STREET / P.O. BOX 507,LOVINGSTON,VA,WOODWORKING MACHINE FEEDER,60,8.66,HR,8.66,HR
A-07323-29989,12/10/07,11/16/07,CERTIFIED,NY,2/1/08,11/25/08,"LEO O'BRIEN RACING STABLE, LTD.",134 TRINITY PLACE,,WEST HEMPSTEAD,NY,11552,"INTERNATIONAL PERSONNEL RESOURCES, INC",P.O. BOX 1507,WEST CHESTER,PA,STABLE ATTENDANT,19,7.73,HR,7.73,HR
A-07324-30079,12/10/07,11/19/07,PARTIAL CERTIFIED,PA,2/15/08,12/15/08,PALMER NURSERY INC.,2210 CORRIERE RD,,EASTON,PA,18045,"H2B LABOR SOLUTIONS, LLC.",LUISA RAMIREZ,DENVILLE,NJ,"FARMWORKER, FIELD CROP II",10,7.15,HR,8.6,HR
A-07323-29993,12/10/07,11/16/07,CERTIFIED,NY,2/1/08,11/25/08,"PROFESSIONAL THOROUGHBRED TRAINING, INC. MEMBER NY",109 FOX HOLLOW ROAD,,PETERSBURG,NY,12138,ROBERT S. NIX,"INTERNATIONAL PERSONNEL RESOURCES, INC",WEST CHESTER,PA,STABLE ATTENDANT,5,7.73,HR,7.73,HR
A-07324-30114,12/10/07,11/19/07,CERTIFIED,PA,2/15/08,12/15/08,"ELEGANT LAWN CARE, INC.",618 BANGOR ROAD,,EASTON,PA,18042,"H-2B LABOR SOLUTIONS, LLC",LUISA RAMIREZ,DENVILLE,NJ,"LABORER, LANDSCAPE",20,7.69,HR,9,HR
A-07327-30226,12/10/07,11/20/07,CERTIFIED,NJ,2/15/08,12/15/08,"LANDSCAPE MAINTENANCE SERVICES, INC.","491 AMWELL ROAD BLDG. 1, SUITE 100",,HILLSBOROUGH,NJ,08844,"H-2B LABOR SOLUTIONS, LLC",LUISA RAMIREZ,DENVILLE,NJ,"LABORER, LANDSCAPE",4,9.1,HR,9.1,HR
A-07324-30065,12/10/07,11/19/07,CERTIFIED,FL,2/20/08,12/1/08,"KELT, INC. DBA US LAWNS OF ORLANDO",250 MILEHAM DRIVE,,ORLANDO,FL,32835,"THE LABOR COMPANY,  A. WRIGHT","417 S. MAIN STREET, SUITE 107",AMHERST,VA,"LABORER, LANDSCAPE",20,7.72,HR,7.72,HR
A-07332-30567,12/10/07,11/27/07,PARTIAL CERTIFIED,NJ,2/15/08,11/15/08,RUTGERS PAINTING CO.,863 VALLEY STREET,,VAUXHALL,NJ,07088,"H-2B LABOR SOLUTIONS, LLC",LUISA RAMIREZ,DENVILLE,NJ,"PAINTER HELPER, SPRAY",99,8.94,HR,10.68,HR
C-07338-31159,12/10/07,12/3/07,CERTIFIED,TX,1/15/08,11/15/08,"PATRICIO C. HERNANDEZ, INC.",2915 FM 1460,,GEORGETOWN,TX,78626,"HECTOR V. VILLEGAS, JR. ESQ","LAW OFFICE OF HECTOR V. VILLEGAS JR., P.C.",HOUSTON,TX,PAINTER,35,8.35,HR,8.35,HR
C-07338-31193,12/10/07,12/3/07,CERTIFIED,TX,1/15/08,11/15/08,"JOSE F. GOMEZ CONSTRUCTION, INC.",5408 TABITA COVE,,DEL VALLE,TX,78617,"HECTOR V. VILLEGAS, JR. ESQ","LAW OFFICE OF HECTOR V. VILLEGAS JR., P.C.",HOUSTON,TX,CONSTRUCTION WORKER I,20,8.48,HR,8.5,HR
C-07338-31202,12/10/07,12/3/07,CERTIFIED,TX,1/15/08,11/15/08,RAMIREZ CARPENTERS CORP.,9212 VOGUE,,HOUSTON,TX,77080,"HECTOR V. VILLEGAS, JR. ESQ","LAW OFFICE OF HECTOR V. VILLEGAS JR., P.C.",HOUSTON,TX,CONSTRUCTION WORKER I,20,7.41,HR,7.41,HR
A-07313-29364,12/10/07,11/8/07,CERTIFIED,VA,2/15/08,12/15/08,"WHEAT'S LAWN & CUSTOM LANDSCAPE, INC.",8620 PARK STREET,,VIENNA,VA,22180,"MAS LABOR H2B, LLC",ELIZABETH D. WHITLEY,LOVINGSTON,VA,"SPRAYER, HAND",8,8.77,HR,9.65,HR
C-07337-30879,12/10/07,11/30/07,CERTIFIED,ND,12/15/07,8/25/08,"ALTENDORF TRANSPORT, INC",15061 COUNTY ROAD 19,,MINTO,ND,58261,,,,,TRACTOR TRAILER TRUCK DRIVER,10,28766,YR,28766,YR
A-07313-29365,12/10/07,11/9/07,CERTIFIED,VA,2/15/08,12/15/08,"WHEAT'S LAWN & CUSTOM LANDSCAPE, INC.",8620 PARK STREET,,VIENNA,VA,22180,"MAS LABOR H2B, LLC",ELIZABETH D. WHITLEY,LOVINGSTON,VA,"LABORER, LANDSCAPE",45,8.65,HR,8.65,HR
A-07313-29374,12/10/07,11/8/07,CERTIFIED,PA,2/18/08,11/30/08,"ALL SEASONS LANDSCAPING CO., INC.",3915 MARKET ST.,,ASTON,PA,19014,"INTERNATIONAL PERSONNEL RESOURCES, INC.",PO BOX 1507,WEST CHESTER,PA,"LABORER, LANDSCAPE",10,8.79,HR,8.79,HR
A-07323-29976,12/10/07,11/16/07,DENIED,NY,2/1/08,11/25/08,TOM BUSH STABLES,P.O. BOX 644,,FLORAL PARK,NY,11002,"INTERNATIONAL PERSONNEL RESOURCES, INC.","115 E. CHESTNUT ST.,",WEST CHESTER,PA,STABLE ATTENDANT,0,7.73,HR,7.73,HR
A-07323-29977,12/10/07,11/16/07,DENIED,NY,2/1/08,11/25/08,KIARAN MCLAUGHLIN RACING STABLES INC.,105 JACKSON STREET,,GARDEN CITY,NY,11791,"INTERNATIONAL PERSONNEL RESOURCES, INC.",PO BOX 1507,WEST CHESTER,PA,STABLE ATTENDANT,0,7.73,HR,7.73,HR
A-07323-29988,12/10/07,11/16/07,DENIED,NY,2/1/08,11/25/08,RICHARD E. DUTROW JR. RACING STABLE INC.  MEMBER N,P.O. BOX 90,,JAMAICA,NY,11417,"INTERNATIONAL PERSONNEL RESOURCES, INC",P.O. BOX 1507,WEST CHESTER,PA,STABLE ATTENDANT,0,7.73,HR,7.73,HR
A-07323-29991,12/10/07,11/16/07,DENIED,NY,2/1/08,11/25/08,JOHN KIMMEL RACING STABLE,P. O. BOX 5150,,SARATOGA SPRINGS,NY,12866,"INTERNATIONAL PERSONNEL RESOURCES, INC",P.O. BOX 1507,WEST CHESTER,PA,STABLE ATTENDANT,0,7.73,HR,7.73,HR
A-07323-29992,12/10/07,11/16/07,DENIED,NY,2/1/08,11/25/08,"GARY SCIACCA, INC.",PO BOX 535,,ELMONT,NY,11003,"INTERNATIONAL PERSONNEL RESOURCES, INC",P.O. BOX 1507,WEST CHESTER,PA,STABLE ATTENDANT,0,7.73,HR,7.73,HR
A-07330-30383,12/10/07,11/23/07,CERTIFIED,NJ,2/15/08,12/15/08,BCM IRRIGATION,1237 EATONTOWN BLVD,,OCEANPORT,NJ,07757,,,,,"LABORER, LANDSCAPE",6,8.42,HR,8.42,HR
C-07324-30125,12/10/07,11/20/07,CERTIFIED,LA,12/27/07,8/28/08,INTERNATIONAL CONTRACTORS OF LA,1219 IMPORT DRIVE,,NEW IBERIA,LA,70560,USA WORKS FOR YOU,MATTHEW T. TOURTELLOTT,LAKE PARK,GA,"WELDER, ARC",173,12.48,HR,14,HR
C-07324-30123,12/10/07,11/20/07,PARTIAL CERTIFIED,LA,12/27/07,8/28/08,INTERNATIONAL CONTRACTORS OF LA,1219 IMPORT DRIVE,,NEW IBERIA,LA,70560,USA WORKS...FOR YOU,MATTHEW T. TOURTELLOTT,LAKE PARK,GA,WELDER FITTER,173,12.48,HR,14,HR
A-07303-28868,12/10/07,10/30/07,PARTIAL CERTIFIED,MS,2/1/08,11/30/08,"HUTCO, INC.",100 COMMISSION BLVD,,LAFAYETTE,LA,70508,"AMIGOS LABOR SOLUTINS, INC","3141 HOOD STREET, SUITE 440",DALLAS,TX,"BRAZER, ASSEMBLER",67,12.18,HR,12.2,HR
C-07330-30284,12/10/07,11/23/07,DENIED,TX,12/20/07,9/20/08,"HOOT JOHNSON CONSTRUCTION, INC.",700 HCR 1313,,HILLSBORO,TX,76645,,,,,CONSTRUCTION WORKER I,0,7.91,HR,8.97,HR
A-07337-30950,12/10/07,11/30/07,CERTIFIED,NY,2/13/08,12/15/08,"JLC LANDSCAPE SERVICES, INC.",27 GRANNY ROAD,,FARMINGVILLE,NY,11738,"MAS LABOR H2B, LLC  ELIZABETH D. WHITLEY",650 FRONT STREET / P.O. BOX 507,LOVINGSTON,VA,"LABORER, LANDSCAPE",10,8.46,HR,8.46,HR
A-07337-31036,12/10/07,12/3/07,CERTIFIED,VA,2/18/08,12/18/08,SEVEN OAKS LANDSCAPES-HARDSCAPES INC,529 REDWOOD ROAD,,GLADE HILL,VA,24092,FEDERATION OF EMPLOYERS AND WORKERS OF AMERICA,2901 BUCKS BAYOU ROAD,BAY CITY,TX,"LABORER, LANDSCAPE",10,7.81,HR,7.81,HR
A-07337-30989,12/10/07,11/30/07,CERTIFIED,NC,2/15/08,11/30/08,LOVIN CONTRACTING COMPANY,P.O. BOX 758,88 STATE SHED ROAD,ROBBINSVILLE,NC,28771,GINNY MUILENBURG/LABOR CONSULTANTS INTERNATIONAL,1810 E. SCHNEIDMILLER AVE. #350,POST FALLS,ID,HIGHWAY MAINTENANCE WORKER,30,9.22,HR,9.22,HR
C-07340-31407,12/10/07,12/3/07,CERTIFIED,TX,2/19/08,12/15/08,SOUTHEAST TEXAS INDUSTRIES,35911 SOUTH HIGHWAY 96,,BUNA,TX,77612,BECKY DASHER,USA WORKS........ FOR YOU,LAKE PARK,GA,WELDER FITTER,149,9.07,HR,10.22,HR
C-07338-31167,12/10/07,12/3/07,CERTIFIED,OH,2/20/08,12/15/08,TRC LANDSCAPE SERVICES INC,7879 DEERBROOK DRIVE,,NOVELTY,OH,44072,"BRANISLAV HRUZ, ESQ","1900 SUPERIOR AVE,",CLEVELAND,OH,"LABORER, LANDSCAPE",12,7.54,HR,7.54,HR
C-07340-31409,12/10/07,12/3/07,CERTIFIED,TX,2/20/08,12/20/08,JAMES LANDSCAPING INC,430 SHADY OAKS,,SOUTHLAKE,TX,76092,FEDERATION OF EMPLOYERS AND WORKERS OF AMERICA,2901 BUCKS BAYOU ROAD,BAY CITY,TX,"LABORER, LANDSCAPE",20,7.56,HR,7.56,HR
C-07339-31265,12/10/07,12/3/07,CERTIFIED,OH,2/20/08,11/30/08,"K & K ENTERPRISES,INC",2452 ANTIOCH ROAD,,PERRY,OH,44081,,,,,CAMOUFLAGE ASSEMBLER,14,9.77,HR,9.77,HR
C-07338-31164,12/10/07,12/3/07,CERTIFIED,OH,2/20/08,12/15/08,SECOR'S NURSERY & LANDSCAPING INC,4940 NORTH RIDGE RD,,PERRY,OH,44081,"BRANISLAV HRUZ, ESQ","1900 SUPERIOR AVE,",CLEVELAND,OH,"LABORER, LANDSCAPE",14,7.54,HR,7.54,HR
C-07338-31165,12/10/07,12/3/07,CERTIFIED,OH,2/20/08,12/15/08,MORRIS LANDSCAPING LLC,38867 ADKINS RD,,WILLOUGHBY,OH,44094,"BRANISLAV HRUZ, ESQ","1900 SUPERIOR AVE,",CLEVELAND,OH,"LABORER, LANDSCAPE",6,7.54,HR,7.54,HR
C-07340-31410,12/10/07,12/3/07,CERTIFIED,TX,1/1/08,11/1/08,GREER'S INC,322 E. MAIN,,NACOGDOCHES,TX,75961,BELINDA RODRIGUEZ,PRO SERVICES,SAN ANTONIO,TX,MATERIAL HANDLER,13,6.16,HR,7.62,HR
C-07333-30737,12/10/07,11/29/07,CERTIFIED,TX,2/18/08,11/3/08,"ELLIOTT'S AMUSEMENTS, LLC",1985 S. MERIDIAN ROAD,P.O. BOX 236,MASON,MI,48854,TESS HARRISON,JKJ WORKFORCE,RIO HONDO,TX,AMUSEMENT PARK WORKER,35,6.05,HR,7.48,HR
C-07333-30734,12/10/07,11/29/07,CERTIFIED,TX,2/15/08,11/18/08,"FANTASY AMUSEMENT COMPANY, INC.",629 N. FORREST AVENUE,,ARLINGTON HEIGHTS,IL,60004,VINCENT P. MARTIN,"7900 XERXES AVE. S., SUITE 1125",BLOOMINGTON,MN,AMUSEMENT PARK WORKER,40,6.95,HR,8.25,HR
C-07330-30357,12/10/07,11/26/07,CERTIFIED,NY,2/15/08,11/15/08,"GILLETTE SHOWS, INC.",291 PECKS ROAD,,PITTSFIELD,MA,01201,JAMES K. JUDKINS,"JKJ WORKFORCE AGENCY, INC",HUGO,OK,AMUSEMENT PARK WORKER,60,7.84,HR,7.84,HR
C-07339-31288,12/10/07,12/3/07,CERTIFIED,TX,2/19/08,12/15/08,SOUTHEAST TEXAS INDUSTRIES,35911 SOUTH HIGHWAY 96,,BUNA,TX,77612,MATTHEW T. TOURTELLOTT,USA WORKS........ FOR YOU,LAKE PARK,GA,FITTER,153,8.77,HR,12.65,HR
C-07340-31437,12/10/07,12/5/07,CERTIFIED,TX,2/1/08,11/15/08,KISSEL ENTERTAINMENT LLC,17606 US HWY 31 N,,CLANTON,AL,35053,TESS HARRISON,JKJ WORKFORCE,RIO HONDO,TX,AMUSEMENT PARK WORKER,30,6.04,HR,6.68,HR
C-07330-30363,12/10/07,11/26/07,CERTIFIED,NY,2/15/08,11/15/08,"CRYSTAL ROCK AMUSEMENTS, INC. DBA CASTLEROCK AMUSE",35 GRANT STREET,,PITTSFIELD,MA,01201,JAMES K. JUDKINS,"JKJ WORKFORCE AGENCY, INC",HUGO,OK,AMUSEMENT PARK WORKER,30,8.07,HR,8.07,HR
A-07339-31337,12/11/07,12/4/07,CERTIFIED,NJ,2/15/08,12/1/08,RIVERTON POOL & GARDEN CENTER,2607 RT. 130 S.,,CINNAMINSON,NJ,08077,WORKFORCE ADVANTAGE,FERNANDO E. SEANZ,RICHMOND,VA,"LABORER, LANDSCAPE",15,8.38,HR,8.38,HR
A-07318-29574,12/11/07,11/13/07,CERTIFIED,VA,2/11/08,12/9/08,KEVCOR CORPORATION,5847 HARGROVE STREET,,NORFOLK,VA,23502,"MAS LABOR H2B, LLC",ELIZABETH D. WHITLEY,LOVINGSTON,VA,CONSTRUCTION WORKER I,15,5.85,HR,7.57,HR
A-07332-30632,12/11/07,11/27/07,CERTIFIED,FL,2/15/08,12/15/08,HEATON BROTHERS CONSTRUCTION COMPANY. INC.,5805 SAWFLEY FIELD ROAD,,PENSACOLA,FL,32526,"AMIGOS LABOR SOLUTIONS, INC.","3141 HOOD STREET, SUITE 440",DALLAS,TX,CONSTRUCTION WORKER I,16,7.9,HR,7.92,HR
C-07327-30252,12/11/07,11/21/07,CERTIFIED,OH,2/14/08,11/30/08,"J & D PROFESSIONAL LAWN & LANDSCAPE, LLC",241 BEACON HILL DRIVE,,MOUNT ORAB,OH,45154,THE LABOR COMPANY,A. WRIGHT,AMHERST,VA,"LABORER, LANDSCAPE",10,7.96,HR,7.96,HR
C-07337-31018,12/11/07,12/3/07,CERTIFIED,OH,2/20/08,12/15/08,"DINUNZIO LANDSCAPING & SNOW PLOWING, INC.",718 KENBRIDGE DR.,,HIGHLAND HTS.,OH,44143,"BRANISLAV HRUZ, ESQ.",1900 SUPERIOR AVE.,CLEVELAND,OH,"LABORER, LANDSCAPE",14,7.54,HR,7.54,HR
C-07339-31293,12/11/07,12/3/07,CERTIFIED,TX,2/20/08,12/20/08,"EVERGREEN LAWN & LANDSCAPE, INC",10483 FINCHER RD,,ARGYLE,TX,76226,DENNY L. LYNES OR LORI L. WHITTEN,ACTION VISA ASSISTANCE,WYLIE,TX,"LABORER, LANDSCAPE",18,7.27,HR,7.27,HR
C-07339-31243,12/11/07,12/3/07,CERTIFIED,TX,2/15/08,12/15/08,MIRAMONT MANAGEMENT CO. LLC DBA MIRAMONT COUNTRY C,ONE MIRAMONT BLVD.,,BRYAN,TX,77802,MEHRON PETER AZARMEHR,"AZARMEHR & ASSOCIATES, P.C.",AUSTIN,TX,"LABORER, LANDSCAPE",30,6.53,HR,7.5,HR
C-07339-31249,12/11/07,12/3/07,CERTIFIED,TX,2/1/08,12/1/08,TRINITY LANDSCAPING LLC. D.B.A. SOUTHERN SERVICES,3840 BLAGG RD.,,DENTON,TX,76208,"MARTINEZ & MARTINEZ, PLLC","8828 N. STEMMONS FRWY., STE. 200",DALLAS,TX,"LABORER, LANDSCAPE",14,7.27,HR,7.27,HR
C-07340-31412,12/11/07,12/3/07,CERTIFIED,OH,2/20/08,12/15/08,"VANCUREN SERVICES, INC",P.O.BOX 91,10555 KINSMAN RD,NEWBURY,OH,44065,"BRANISLAV HRUZ, ESQ","1900 SUPERIOR AVE,",CLEVELAND,OH,"LABORER, LANDSCAPE",5,7.54,HR,7.54,HR
C-07339-31235,12/11/07,12/3/07,CERTIFIED,TX,2/1/08,11/30/08,F.L. CRANE & SONS INC.,504 TRADESMANS PARK RD.,,HUTTO,TX,78634,"INFINITY LABOR SOURCE, INC.",297 JACK RABBIT LANE,BUDA,TX,CONSTRUCTION WORKER I,150,8.48,HR,8.55,HR
C-07323-29973,12/11/07,11/19/07,PARTIAL CERTIFIED,AR,2/15/08,10/31/08,BILLY STAIN LANDSCAPING DBA US LAWNS OF LITTLE ROC,813 OAK STREET 10A SUITE 306,,CONWAY,AR,72032,A. WRIGHT,"417 S. MAIN STREET,SUITE 107",AMHERST,VA,"LABORER, LANDSCAPE",15,7.01,HR,8.5,HR
A-07340-31482,12/11/07,12/6/07,CERTIFIED,MD,2/18/08,11/28/08,"CARNIE'S LAWN CARE, INC.",2309 CHANTAWAY COURT,,BEL AIR,MD,21015,MAS LABOR H2B,ELIZABETH D. WHITLEY,LOVINGSTON,VA,"LABORER, LANDSCAPE",6,8.45,HR,8.45,HR
A-07337-30891,12/11/07,11/27/07,CERTIFIED,SC,2/15/08,11/30/08,"SECOND NATURE, LLC",35 DILLON ROAD,,HILTON HEAD ISLAND,SC,29926,WORKFORCE ADVANTAGE,FERNANDO E. SEANZ,RICHMOND,VA,"LABORER, LANDSCAPE",25,7.79,HR,7.79,HR
A-07299-28718,12/11/07,10/25/07,CERTIFIED,KY,2/1/08,11/30/08,CROSS ROADS MASONRY,P.O. BOX 1602,,BEATTYVILLE,KY,41311,"ELIZABETH CONLEY-MORGAN, ATTORNEY AT LAW",1389 ALEXANDRIA DRIVE,LEXINGTON,KY,PRODUCTION HELPER,9,8.63,HR,9.16,HR
A-07324-30132,12/11/07,11/19/07,CERTIFIED,NH,12/1/07,4/1/08,MOUNTAIN VIEW SPA  AND RESORT,MOUNTAIN VIEW ROAD,,WHITEFIELD,NH,03598,WALTER GLEASON ESQ.,306 DARTMOUTH STREET,BOSTON,MA,COOK,6,9.24,HR,9.59,HR
A-07337-30888,12/11/07,11/29/07,PARTIAL CERTIFIED,NJ,2/15/08,12/15/08,IBM HOME IMPROVEMENT,119 BROWN STREET,,TRENTON,NJ,08610,"H-2B LABOR SOLUTIONS, LLC",LUISA RAMIREZ,DENVILLE,NJ,CONSTRUCTION WORKER II,20,11.12,HR,11.12,HR
A-07319-29736,12/11/07,11/15/07,CERTIFIED,VA,2/15/08,12/15/08,TRUGREEN LANDCARE,12270 MAPLE STREET,,ASHLAND,VA,23005,"MAS LABOR H2B, LLC, ELIZABETH D. WHITLEY",650 FRONT STREET,LOVINGSTON,VA,"SUPERVISOR, LANDSCAPE",7,14,HR,14.26,HR
A-07331-30518,12/11/07,11/26/07,CERTIFIED,NY,2/15/08,12/25/08,M & V CONCRETE CONTRACTING CORP.,P.O. BOX 527,,MEDFORD,NY,11763,"MARIO DEMARCO, ESQ",815 HORSEBLOCK ROAD,FARMINGVILLE,NY,"BRICKLAYER HELPER, FIREBRICK AND REFRACTORY TILE",5,8.2,HR,9.4,HR
A-07331-30477,12/11/07,11/23/07,CERTIFIED,GA,2/15/08,11/15/08,"STARWOOD HOTELS & RESORTS, INC DBA WESTIN SAVANNAH",ONE RESORT DRIVE,,SAVANNAH,GA,31421,PRACTICAL EMPLOYEE SOLUTIONS,VERONICA T. STRICKLAND,TARBOR CITY,NC,"WAITER/WAITRESS, INFORMAL",24,6.53,HR,6.53,HR
