CASE_NO,DECISION_DATE,NPC_SUBMITTED_DATE,CASE_STATUS,APPLICATION_TYPE,ALIEN_WORK_STATE,CERTIFICATION_BEGIN_DATE,CERTIFICATION_END_DATE,EMPLOYER_NAME,EMPLOYER_ADDRESS1,EMPLOYER_ADDRESS2,EMPLOYER_CITY,EMPLOYER_STATE,EMPLOYER_POSTAL_CODE,AGENT_ATTORNEY_NAME,AGENT_ATTORNEY_CITY,AGENT_ATTORNEY_STATE,DOT_OCCUPATIONAL_CODE,JOB_TITLE,NBR_WORKERS_REQUESTED,NBR_WORKERS_CERTIFIED,PREVAILING_WAGE,PW_UNIT_OF_PAY,BASIC_RATE_OF_PAY,BASIC_UNIT_OF_PAY
C-10190-50479,20-Jul-10,9-Jul-10,PARTIAL CERTIFIED,H-2B,DE,1-Oct-10,31-May-11,"WEATHER OR NOT, INC.",38294 LONDON AVENUE - D28,,SELBYVILLE,DE,19975,"ELIZABETH D WHITLEY/MASLABOR H2B, LLC",LOVINGSTON,VA,869.664-014,CONSTRUCTION WORKER I,10,4,10.85,HR,10.85,HR
C-09362-48156,30-Dec-09,23-Dec-09,CERTIFIED,H-2B,DE,1-Apr-10,20-Nov-10,"RONNY'S MARKET, INC. DBA RONNY'S GARDEN WORLD",5580 DUPONT PARKWAY,,SMYRNA,DE,19977,ELIZABETH D. WHITLEY,LOVINGSTON,VA,180.167-042,"MANAGER, NURSERY",10,10,8.11,HR,8.11,HR
C-10116-49976,11-May-10,26-Apr-10,CERTIFIED,H-2B,DC,15-Jun-10,15-Jun-12,NEIL AND NICOLE KELLY,"131 RHODE ISLAND AVENUE, NE",,WASHINGTON,DC,20002,MIRRIAM ZARY SEDDIQ,BURKE,VA,301.677-010,CHILD MONITOR,1,1,9.2,HR,9.2,HR
C-10172-50325,16-Jul-10,21-Jun-10,DENIED,H-2B,DC,1-Jun-10,14-Jul-14,"GHANA CAFE, LLC","1336 14TH STREET, NW",,WASHINGTON,DC,20005,,,,313.361-014,COOK,10,0,,HR,8.5,HR
C-09264-46500,21-Oct-09,21-Sep-09,DENIED,H-2B,DC,20-Oct-09,19-Oct-10,"PURE HOSPITALITY, LLC","3241 M. ST., NW",,WASHINGTON,DC,20007,ELIZABETH B KRUKOVA,FALLS CHURCH,VA,319.137-010,FOOD SERVICE SUPERVISOR,1,0,18.4,HR,18.4,HR
C-09334-47432,1-Dec-09,21-Sep-09,CERTIFIED,H-2B,DC,20-Oct-09,19-Oct-10,"PURE HOSPITALITY, LLC","3241 M STREET, NW",,WASHINGTON,DC,20007,ELIZABETH B. KRUKOVA,FALLS CHURCH,VA,319.137-010,FOOD SERVICE SUPERVISOR,1,1,18.4,HR,18.4,HR
C-10179-50389,8-Jul-10,28-Jun-10,CERTIFIED,H-2B,FL,1-Oct-10,31-Jul-11,"MARRIOTT INTERNATIONAL, INC.",1 MARRIOTT DRIVE,DEPARTMENT#52/931.18,WASHINGTON,DC,20058,VERONICA STRICKLAND-BIRKENSTOCK,DALLAS,TX,315.361-010,COOK,10,10,9.8,HR,9.8,HR
C-10180-50397,9-Jul-10,29-Jun-10,CERTIFIED,H-2B,FL,1-Oct-10,31-Jul-11,"MARRIOTT INTERNATIONAL, INC.",1 MARRIOTT DRIVE DEPARTMENT # 52/931.18,,WASHINGTON,DC,20058,VERONICA T STRICKLAND-BIRKENSTOCK,DALLAS,TX,323.687-018,HOUSECLEANER,38,38,8.42,HR,8.5,HR
C-09350-47616,30-Dec-09,15-Dec-09,PARTIAL CERTIFIED,H-2B,VA,1-Mar-10,15-Dec-10,LAPOINTE LANDSCAPES LLC DBA RIVER'S EDGE LANDSCAPE,123 EASY LANE,,BLUEMONT,VA,20135,APRIL DAWN MCKINNEY,BAY CITY,TX,406.684-014,"GROUNDSKEEPER, INDUSTRIAL COMMERCIAL",10,8,8.72,HR,8.72,HR
C-09307-46960,9-Nov-09,3-Nov-09,CERTIFIED,H-2B,VA,12-Feb-10,12-Dec-10,"GREEN ACRES LAWN CARE, INC.",19090 EBENEZER CHURCH RD.,,ROUND HILL,VA,20141,BRANDI C. COWAN,BAY CITY,TX,408.687-014,"LABORER, LANDSCAPE",25,25,8.72,HR,8.72,HR
C-09293-46731,6-Nov-09,20-Oct-09,CERTIFIED,H-2B,VA,1-Feb-10,30-Nov-10,VALLEYCREST LANDSCAPE MAINTENANCE,14926 WILLARD ROAD,,CHANTILLY,VA,20151,,,,408.687-014,"LABORER, LANDSCAPE",70,70,8.72,HR,8.72,HR
C-09303-46911,6-Nov-09,30-Oct-09,CERTIFIED,H-2B,VA,1-Feb-10,1-Dec-10,THE DAVEY TREE EXPERT COMPANY,25225 PLEASANT VALLEY RD.,,CHANTILLY,VA,20152,FERNANDO ERNESTO SAENZ,GLEN ALLEN,VA,408.687-014,"LABORER, LANDSCAPE",33,33,8.72,HR,8.72,HR
C-09329-47380,30-Nov-09,25-Nov-09,PARTIAL CERTIFIED,H-2B,VA,15-Feb-10,15-Dec-10,RUPPERT NURSERIES,5451 WELLINGTON ROAD,,GAINESVILLE,VA,20155,"ROBERT L. WINGFIELD/AMIGO'S LABOR SOLUTIONS, INC.",DALLAS,TX,406.684-014,"GROUNDSKEEPER, INDUSTRIAL COMMERCIAL",25,24,8.72,HR,8.72,HR
C-09355-47786,24-Dec-09,17-Dec-09,CERTIFIED,H-2B,VA,1-Apr-10,13-Dec-10,ROBERT TRENT JONES GOLF CLUB,1 TURTLE POINT DR.,,GAINESVILLE,VA,20155,"ELIZABETH D. WHITLEY / MASLABOR H2B, LLC",LOVINGSTON,VA,408.687-014,"LABORER, LANDSCAPE",25,25,8.72,HR,8.72,HR
C-09365-48379,6-Jan-10,30-Dec-09,CERTIFIED,H-2B,VA,1-Apr-10,25-Dec-10,"ENGLISH FARMS LAWN & LANDSCAPE, LLC",46833 TRAILWOOD PLACE,,POTOMAC FALLS,VA,20165,EVELYN AMANDA WRIGHT / THE LABOR COMPANY,ROSELAND,VA,408.687-014,"LABORER, LANDSCAPE",15,15,8.72,HR,8.72,HR
C-09306-46952,13-Nov-09,2-Nov-09,CERTIFIED,H-2B,VA,1-Feb-10,1-Dec-10,CHAPEL VALLEY LANDSCAPE COMPANY,21617 CEDAR LN,,STERLING,VA,20166,FERNANDO ERNESTO SAENZ,GLEN ALLEN,VA,408.687-014,"LABORER, LANDSCAPE",25,25,8.72,HR,8.72,HR
C-09356-47846,28-Dec-09,18-Dec-09,PARTIAL CERTIFIED,H-2B,VA,1-Apr-10,1-Dec-10,HYDRO- TECH IRRIGATION COMPANY,43813 BEAVER MEADOW ROAD,SUITE 200,STERLING,VA,20166,ELIZABETH D. WHITLEY,LOVINGSTON,VA,408.687-014,"LABORER, LANDSCAPE",25,23,9.19,HR,9.19,HR
C-10126-50068,11-May-10,6-May-10,CERTIFIED,H-2B,VA,1-Jun-10,1-Jun-11,YZEL SINGAYAO,22943 WHITEHALL TERRACE,,STERLING,VA,20166,ARNEDO S. VALERA LAW OFFICES OF VALERA AND ASSOCIA,FAIRFAX,VA,355.674-010,"CHILD CARE ATTENDANT, SCHOOL",1,1,8,HR,8,HR
C-10131-50092,7-Jun-10,11-May-10,PARTIAL CERTIFIED,H-2B,VA,1-Jun-10,31-Oct-10,JK MOVING AND STORAGE,44112 MERCURE CIRCLE,,STERLING,VA,20166,CARLOS RECIO,WASHINGTON,DC,914.687-014,LOADER HELPER,42,38,,,,
C-09356-47854,28-Dec-09,18-Dec-09,CERTIFIED,H-2B,VA,1-Apr-10,13-Dec-10,CLIPPER'S INC.,2774 TOWERVIEW DRIVE,,HERNDON,VA,20171,ELIZABETH D. WHITLEY,LOVINGSTON,VA,408.687-014,"LABORER, LANDSCAPE",50,50,8.72,HR,8.72,HR
C-10008-48612,14-Jan-10,8-Jan-10,CERTIFIED,H-2B,MD,1-Apr-10,13-Dec-10,CLIPPER'S INC.,2774 TOWERVIEW DRIVE,"P.O. BOX 220833, CHANTILLY, VA 20153",HERNDON,VA,20171,"ELIZABETH D. WHITLEY / MAS LABOR H2B, LLC",LOVINGSTON,VA,408.687-014,"LABORER, LANDSCAPE",25,25,9.37,HR,9.37,HR
C-10011-48646,14-Jan-10,11-Jan-10,PARTIAL CERTIFIED,H-2B,VA,1-Apr-10,13-Dec-10,CLIPPER'S INC.,2774 TOWERVIEW DRIVE,"P.O. BOX 220833, CHANTILLY, VA 20153",HERNDON,VA,20171,"ELIZABETH D. WHITLEY/MAS LABOR H2B, LLC",LOVINGSTON,VA,408.687-014,"LABORER, LANDSCAPE",25,22,8.45,HR,8.45,HR
C-10194-50505,11-Aug-10,13-Jul-10,CERTIFIED,H-2B,VA,1-Oct-10,1-Apr-11,"AQUA TECH IRRIGATION, LLC",2774 TOWERVIEW DRIVE,,HERNDON,VA,20171,"ELIZABETH D. WHITLEY / MAS LABOR H2B, LLC",LOVINGSTON,VA,406.684-014,"GROUNDSKEEPER, INDUSTRIAL COMMERCIAL",80,80,8.72,HR,8.72,HR
C-09357-48047,29-Dec-09,22-Dec-09,CERTIFIED,H-2B,VA,1-Apr-10,3-Dec-10,"AMERICAN LAWN BROTHERS, INC.",40824 RED HILL ROAD,,LEESBURG,VA,20175,"ELIZABETH D. WHITLEY / MASLABOR H2B, LLC",LOVINGSTON,VA,408.687-014,"LABORER, LANDSCAPE",30,30,8.72,HR,8.72,HR
C-09300-46830,9-Nov-09,27-Oct-09,PARTIAL CERTIFIED,H-2B,VA,1-Feb-10,30-Nov-10,EPLING LANDSCAPING AND LAWN SERVICE INC,38240 MORRISONVILLE RD,,LOVETTSVILLE,VA,20180,RITA ROMERO,BAY CITY,TX,408.687-014,"LABORER, LANDSCAPE",10,9,8.72,HR,8.72,HR
C-09358-48140,30-Dec-09,23-Dec-09,CERTIFIED,H-2B,VA,1-Apr-10,13-Dec-10,"THRIVE, INC.",1590 STOWE ROAD,,RESTON,VA,20194,"ELIZABETH D. WHITLEY / MASLABOR H2B, LLC",LOVINGSTON,VA,408.687-014,"LABORER, LANDSCAPE",8,8,9.19,HR,9.19,HR
C-09324-47315,24-Nov-09,20-Nov-09,PARTIAL CERTIFIED,H-2B,MD,13-Feb-10,13-Dec-10,"ED'S PLANT WORLD, INC.",11811 BRANCH AVENUE,,BRANDYWINE,MD,20613,"ELIZABETH D. WHITLEY / MAS LABOR H2B, LLC",LOVINGSTON,VA,408.687-014,"LABORER, LANDSCAPE",65,54,9.19,HR,9.19,HR
C-10175-50365,9-Jul-10,24-Jun-10,PARTIAL CERTIFIED,H-2B,MD,1-Oct-10,30-Jun-11,CHESELDINE CAR WASH LLC,22667 MERCEDES DRIVE,,CALIFORNIA,MD,20619,EVELYN AMANDA WRIGHT,ROSELAND,VA,915.667-010,"CAR WASH ATTENDANT, AUTOMATIC",12,10,7.66,HR,7.66,HR
C-09299-46810,2-Nov-09,26-Oct-09,CERTIFIED,H-2B,MD,1-Feb-10,1-Dec-10,CCG GREENERY INC.,44222 GREENERY LANE,,HOLLYWOOD,MD,20636,FERNANDO ERNESTO SAENZ / WORKFORCE ADVANTAGE,GLENN ALLEN,VA,408.687-014,"LABORER, LANDSCAPE",6,6,8.72,HR,8.72,HR
C-09310-47032,25-Nov-09,6-Nov-09,PARTIAL CERTIFIED,H-2B,MD,1-Feb-10,1-Dec-10,WENTWORTH NURSERY,41170 OAKVILLE RD,,MECHANICSVILLE,MD,20659,FERNANDO E. SAENZ,GLEN ALLEN,VA,408.687-014,"LABORER, LANDSCAPE",25,22,8.72,HR,8.72,HR
C-10131-50094,14-Jun-10,11-May-10,CERTIFIED,H-2B,MD,1-Apr-10,30-Oct-10,GOLDEN EYE SEAFOOD,16730 PINEY POINT RD,,PINEY POINT,MD,20674,,,,519.686-010,"LABORER, GENERAL",7,7,7.25,HR,7.25,HR
C-09218-46085,8-Oct-09,6-Aug-09,DENIED,H-2B,MD,1-Oct-09,30-Jun-10,"CUSTOM SHIP INTERIORS, INC.",14538 SOLOMONS ISLAND ROAD,,SOLOMONS,MD,20688,KEVIN MICHAEL REILLY / THE LAW OFFICE OF REILLY AN,ANNAPOLIS,MD,819.361-010,WELDER FITTER,20,0,,,,
C-10133-50109,26-May-10,13-May-10,PARTIAL CERTIFIED,H-2B,MD,1-May-10,31-Oct-10,"US SERVICES, LLC  DBA  US AQUATICS",12207 DISTRIBUTION WAY,,BELTSVILLE,MD,20705,,,,869.687-018,CLEANER,25,24,,,,
C-09324-47327,4-Dec-09,20-Nov-09,PARTIAL CERTIFIED,H-2B,MD,1-Mar-10,15-Oct-10,"AQUASAFE POOL MANAGEMENT, INC.",14311 SOUTH SHORE COURT,,LAUREL,MD,20707,,,,382.664-010,JANITOR,24,20,,,,
C-10006-48544,4-Feb-10,5-Jan-10,DENIED,H-2B,MD,1-Apr-10,31-Oct-10,SELECT EVENT RENTALS,8610 CHERRY LANE,SUITE 30,LAUREL,MD,20707,KATRINA K MAYER,POST FALLS,ID,691.687-010,PRODUCTION HELPER,44,0,10.42,HR,10.42,HR
C-10076-49666,26-Mar-10,17-Mar-10,CERTIFIED,H-2B,MD,26-Apr-10,31-Oct-10,SELECT EVENT RENTALS,8610 CHERRY LANE,SUITE 30,LAUREL,MD,20707,KATRINA K. MAYER / LABOR CONSULTANTS INTERNATIONAL,POST FALLS,ID,529.686-070,PRODUCTION HELPER,44,44,10.42,HR,10.42,HR
C-09268-46539,22-Oct-09,25-Sep-09,DENIED,H-2B,MD,1-Oct-09,31-May-10,HAMILTON SMITH RACING,13613 BRIARWOOD DRIVE,,LAUREL,MD,20708,"WILLIAM VELIE / WILLIAM VELIE, ATTORNEY AT LAW, PL",NORMAN,OK,410.674-010,ANIMAL CARETAKER,2,0,8.04,HR,8.04,HR
C-10061-49530,15-Mar-10,2-Mar-10,CERTIFIED,H-2B,MD,1-Apr-10,1-Dec-10,HAMILTON SMITH,13613 BRIARWOOD DRIVE,,LAUREL,MD,20708,CRAIG MCDOUGAL,NORMAN,OK,410.674-010,ANIMAL CARETAKER,6,6,8.1,HR,8.1,HR
C-09349-47581,21-Dec-09,14-Dec-09,CERTIFIED,H-2B,MD,1-Feb-10,30-Nov-10,"ELSWICK & ELSWICK, INC. T/A GREEN TREE",885 MARLBORO ROAD,,LOTHIAN,MD,20711,VICTOR A. CUCO,ARLINGTON,VA,408.687-014,"LABORER, LANDSCAPE",14,14,9.37,HR,9.37,HR
C-10102-49853,14-Apr-10,12-Apr-10,CERTIFIED,H-2B,MD,1-Apr-10,1-Dec-10,ANNETTE EUBANKS STABLES,PO BOX 489,,LOTHIAN,MD,20711,CRAIG MCDOUGAL,NORMAN,OK,410.674-010,ANIMAL CARETAKER,8,8,8.1,HR,8.1,HR
C-10004-48464,8-Jan-10,4-Jan-10,CERTIFIED,H-2B,MD,1-Apr-10,31-Oct-10,"HERRINGTON HARBOUR, INC.",7149 LAKE SHORE DRIVE,"P.O. BOX 150, FRIENDSHIP, MD 20758",ROSE HAVEN,MD,20714,"DANIEL W. BREMER / AGWORKS, INC.",LAKE PARK,GA,408.687-014,"LABORER, LANDSCAPE",10,10,9.37,HR,9.37,HR
C-10133-50110,27-May-10,13-May-10,CERTIFIED,H-2B,MD,1-Apr-10,1-Dec-10,LINDA ALBERT RACING STABLE,12205 FLEMING LN,,BOWIE,MD,20715,CRAIG MCDOUGAL,NORMAN,OK,410.674-010,ANIMAL CARETAKER,5,5,8.04,HR,8.04,HR
C-09322-47276,1-Dec-09,18-Nov-09,PARTIAL CERTIFIED,H-2B,MD,15-Feb-10,15-Dec-10,"EXEC-U-LAWN LANDSCAPE MANAGEMENT, INC.",17410 CENTRAL AVENUE,,BOWIE,MD,20716,FERNANDO ERNESTO SAENZ,GLEN ALLEN,VA,406.134-014,"SUPERVISOR, LANDSCAPE",20,19,8.72,HR,8.72,HR
C-09358-48087,30-Dec-09,23-Dec-09,PARTIAL CERTIFIED,H-2B,MD,1-Apr-10,30-Nov-10,"GROUNDS MANAGEMENT AND LANDSCAPING, INC.",17930 CENTRAL AVENUE,,MITCHELLVILLE,MD,20716,ELIZABETH WHITLEY,LOVINGSTON,VA,408.687-014,"LABORER, LANDSCAPE",20,18,9.37,HR,9.37,HR
C-09294-46754,28-Oct-09,21-Oct-09,PARTIAL CERTIFIED,H-2B,MD,1-Feb-10,1-Dec-10,"LASTING IMPRESSIONS LANDSCAPE CONTRACTORS, INC.",600 SE CRAIN HIGHWAY,,BOWIE,MD,20717,,,,406.684-014,"GROUNDSKEEPER, INDUSTRIAL COMMERCIAL",90,68,,,,
C-09314-47069,17-Nov-09,10-Nov-09,CERTIFIED,H-2B,MD,1-Feb-10,30-Nov-10,"COMPLETE INDUSTRIES, INC.",2410 NORTH CRAIN HIGHWAY,,BOWIE,MD,20717,GINNY MUILENBURG/  LABOR CONSULTANTS INTERNATIONAL,POST FALLS,ID,406.684-014,"GROUNDSKEEPER, INDUSTRIAL COMMERCIAL",250,250,9.37,HR,9.37,HR
C-10043-49319,4-Mar-10,12-Feb-10,PARTIAL CERTIFIED,H-2B,MD,1-Apr-10,30-Nov-10,"COMPLETE INDUSTRIES, INC.",2410 NORTH CRAIN HIGHWAY,,BOWIE,MD,20717,KATRINA K. MAYER / LABOR CONSULTANTS INTERNATIONAL,POST FALLS,ID,408.687-014,"LABORER, LANDSCAPE",150,139,9.37,HR,9.37,HR
C-10207-50633,16-Aug-10,26-Jul-10,DENIED,H-2B,MD,1-Oct-10,31-Jan-11,PATUXENT NURSERY,2410 NORTH CRAIN HIGHWAY,PO BOX 1584,BOWIE,MD,20717,GINNY MUILENBURG    LABOR CONSULTANTS INTERNATIONA,COEUR D'ALENE,ID,408.687-014,"LABORER, LANDSCAPE",100,0,8.72,HR,8.72,HR
C-10271-51092,30-Sep-10,27-Sep-10,CERTIFIED,H-2B,MD,17-Oct-10,31-Jan-11,PATUXENT NURSERY,2410 NORTH CRAIN HIGHWAY,PO BOX 1584,BOWIE,MD,20717,GINNY MUILENBURG,COEUR D'ALENE,ID,408.687-014,"LABORER, LANDSCAPE",100,100,9.37,HR,9.37,HR
C-10161-50257,14-Jun-10,10-Jun-10,CERTIFIED,H-2B,MD,1-Apr-10,1-Dec-10,ANTHONY AGUIRRE RACING STABLE,260 RED CLAY RD.,,LAUREL,MD,20724,CRAIG MCDOUGAL,NORMAN,OK,410.674-010,ANIMAL CARETAKER,5,5,8.04,HR,8.04,HR
C-09268-46534,22-Oct-09,25-Sep-09,DENIED,H-2B,MD,1-Oct-09,31-May-10,ROBINSON ENTERPRISE,LAUREL PARK RACETRACK,RACETRACK ROAD AND ROUTE 198,LAUREL,MD,20725,WILLIAM VELIE VELIE,NORMAN,OK,410.674-022,STABLE ATTENDANT,8,0,8.04,HR,8.04,HR
C-09310-47031,13-Nov-09,6-Nov-09,PARTIAL CERTIFIED,H-2B,MD,15-Feb-10,15-Dec-10,"MOWING AND MORE, LLC.","4250 KNOX RD., APT. 2207C (MAILING ADDRESS)","8300 55TH AVE., COLLEGE PARK, MD. 20740 (PHYSICAL",COLLEGE PARK,MD,20740,,,,408.687-014,"LABORER, LANDSCAPE",6,1,9.19,HR,9.19,HR
C-09314-47082,17-Nov-09,10-Nov-09,CERTIFIED,H-2B,MD,1-Feb-10,1-Dec-10,DENISON LANDSCAPING INC.,8911 OXON HILL RD,,FT. WASHINGTON,MD,20744,FERNANDO ERNESTO SAENZ,GLEN ALLEN,VA,408.687-014,"LABORER, LANDSCAPE",200,200,8.72,HR,8.72,HR
C-10034-49178,9-Feb-10,3-Feb-10,PARTIAL CERTIFIED,H-2B,MD,1-Apr-10,30-Nov-10,"SUN VENTURES, INC",2957 JESSUP ROAD,PO BOX 488,JESSUP,MD,20794,LABOR CONSULTANTS INTERNATIONAL,POST FALLS,ID,408.687-014,"LABORER, LANDSCAPE",85,81,9.37,HR,9.37,HR
C-09282-46637,9-Nov-09,9-Oct-09,DENIED,H-2B,MD,1-Dec-09,1-Sep-10,"DG HOLDINGS, INC. T/A RAKU ASIAN DINER DBA RAKU AS",7240 WOODMONT AVENUE,,BETHESDA,MD,20814,"MICHAEL WAYNE LIN / BRAVERMAN & LIN, P.C.",ARLINGTON,VA,161.167-010,MANAGEMENT ANALYST,2,0,24.05,HR,24.05,HR
C-10069-49604,1-Apr-10,10-Mar-10,CERTIFIED,H-2B,MD,1-Apr-10,1-Mar-11,"DG HOLDINGS, INC. T/A RAKU ASIAN DINER DBA RAKU AS",7240 WOODMONT AVENUE,,BETHESDA,MD,20814,"MICHAEL WAYNE LIN / BRAVERMAN & LIN, P.C.",ARLINGTON,VA,161.167-010,MANAGEMENT ANALYST,2,2,26.59,HR,26.59,HR
C-09286-46658,14-Oct-09,19-Aug-09,CERTIFIED,H-2B,MD,15-Nov-09,31-Jul-10,"THE RITZ-CARLTON HOTEL COMPANY, LLC",4445 WILLARD AVENUE SUITE 800,,CHEVY CHASE,MD,20815,DANIEL ADRIAN WILLIAMSON,WASHINGTON,DC,313.361-014,COOK,35,35,11.66,HR,11.66,HR
C-10243-50946,2-Sep-10,31-Aug-10,CERTIFIED,H-2B,FL,15-Nov-10,31-Jul-11,THE RITZ-CARLTON HOTEL COMPANY,4445 WILLARD AVENUE,SUITE 800,CHEVY CHASE,MD,20815,DANIEL ADRIAN WILLIAMSON,WASHINGTON,DC,311.677-018,DINING ROOM ATTENDANT,67,67,8.5,HR,8.5,HR
C-10243-50947,10-Sep-10,31-Aug-10,PARTIAL CERTIFIED,H-2B,FL,15-Nov-10,31-Jul-11,"THE RITZ-CARLTON HOTEL COMPANY, LLC",4445 WILLARD AVENUE,SUITE 800,CHEVY CHASE,MD,20815,DANIEL ADRIAN WILLIAMSON,WASHINGTON,DC,321.137-010,HOUSEKEEPER,28,27,11.35,HR,11.35,HR
C-10082-49725,21-Apr-10,23-Mar-10,CERTIFIED,H-2B,MD,1-May-10,30-Sep-10,"UNIVERSAL POOL, INC.",10319 WESTLAKE DR,,BETHESDA,MD,20817,"YONG MEN, ESQ.",ATLANTA,GA,379.667-014,LIFEGUARD,48,48,8,HR,8,HR
C-09356-47905,28-Dec-09,18-Dec-09,PARTIAL CERTIFIED,H-2B,MD,1-Apr-10,15-Dec-10,"THE MEMBERS CLUB AT FOUR STREAMS, INC.",19501 DARNESTOWN RD.,,BEALLSVILLE,MD,20839,"AMIGO'S LABOR SOLUTIONS, INC./ROBERT L. WINGFIELD",DALLAS,TX,408.687-014,"LABORER, LANDSCAPE",27,24,,,,
C-09352-47736,23-Dec-09,16-Dec-09,CERTIFIED,H-2B,MD,1-Apr-10,15-Nov-10,"ATS POOL CONSTRUCTION, INC.",13761 TRAVILAH ROAD,,ROCKVILLE,MD,20850,"ELIZABETH D. WHITLEY / MAS LABOR H2B, LLC",LOVINGSTON,VA,842.381-014,STUCCO MASON,12,12,18.24,HR,18.24,HR
C-09356-47907,28-Dec-09,18-Dec-09,PARTIAL CERTIFIED,H-2B,TX,1-Apr-10,19-Dec-10,"FACILITY SERVICE COMPANY, INC.",14607 ROTHGEB DRIVE,,ROCKVILLE,MD,20850,ROBERT LEE WINGFIELD,DALLAS,TX,408.687-014,"LABORER, LANDSCAPE",30,29,9.38,HR,9.38,HR
C-09350-47609,26-Jan-10,15-Dec-09,DENIED,H-2B,MD,21-Dec-09,19-Dec-10,INFINITE COMPUTER SOLUTIONS INC. (ICS),5 CHOKE CHERRY ROAD,#320,ROCKVILLE,MD,20850,APARNA DAVE,GAITHERSBURG,MD,305.281-010,COOK,1,0,19,HR,19,HR
C-09301-46868,13-Nov-09,28-Oct-09,PARTIAL CERTIFIED,H-2B,MD,1-Feb-10,1-Dec-10,MCFALL & BERRY LANDSCAPE MGMT INC,9501 BEMAN WOODS WAY,,POTOMAC,MD,20854,BRANDI C. COWAN/ FEDERATION OF EMPLOYERS & WORKERS,BAY CITY,TX,408.687-014,"LABORER, LANDSCAPE",120,112,9.19,HR,9.19,HR
C-10125-50057,18-May-10,5-May-10,CERTIFIED,H-2B,MD,15-May-10,15-May-11,MICHELLE L. MILLER-LAURITZEN,10 OLD CREEK CT.,,POTOMAC,MD,20854,ARNEDO S. VALERA,FAIRFAX,VA,301.677-010,CHILD MONITOR,1,1,8,HR,8,HR
C-10105-49887,19-Apr-10,15-Apr-10,CERTIFIED,H-2B,MD,1-Apr-10,1-Dec-10,TANTERRA STABLES PARTNERSHIP,18204 HOLLINGSWORTH DRIVE,,ROCKVILLE,MD,20855,CRAIG MCDOUGAL,NORMAN,OK,410.674-010,ANIMAL CARETAKER,3,3,,,,
C-09268-46536,22-Oct-09,25-Sep-09,DENIED,H-2B,MD,1-Oct-09,31-May-10,TIMOTHY KEEFE RACING STABLES,PO BOX 186,,SANDY SPRING,MD,20860,WILLIAM VELIE,NORMAN,OK,410.674-022,STABLE ATTENDANT,6,0,,,,
C-10089-49784,2-Apr-10,30-Mar-10,CERTIFIED,H-2B,MD,3-May-10,5-Dec-10,STEVE KNAPMAN BRIT-AM SOCCER ACADEMY,12853 CLIMBING IVY DRIVE,,GERMANTOWN,MD,20874,KENNETH E NIELSEN,ROCKVILLE,MD,153.117-018,"SCOUT, PROFESSIONAL SPORTS",3,3,22410,YR,22410,YR
C-09293-46732,27-Oct-09,20-Oct-09,PARTIAL CERTIFIED,H-2B,MD,2-Feb-10,19-Nov-10,THE BRICKMAN GROUP LTD LLC,18227-D FLOWER HILL WAY,,GAITHERSBURG,MD,20879,,,,406.684-014,"GROUNDSKEEPER, INDUSTRIAL COMMERCIAL",80,62,8.92,HR,8.92,HR
C-09293-46745,27-Oct-09,20-Oct-09,CERTIFIED,H-2B,PA,2-Feb-10,19-Nov-10,THE BRICKMAN GROUP LTD LLC,18227-D FLOWER HILL WAY,,GAITHERSBURG,MD,20879,,,,408.687-014,"LABORER, LANDSCAPE",39,39,8.27,HR,8.27,HR
C-09292-46723,29-Oct-09,19-Oct-09,PARTIAL CERTIFIED,H-2B,MD,2-Feb-10,19-Nov-10,"THE BRICKMAN GROUP, LTD. LLC",18227-D FLOWER HILL WAY,,GAITHERSBURG,MD,20879,,,,406.684-014,"GROUNDSKEEPER, INDUSTRIAL COMMERCIAL",50,42,8.56,HR,8.56,HR
C-09296-46793,30-Oct-09,23-Oct-09,PARTIAL CERTIFIED,H-2B,MD,2-Feb-10,19-Nov-10,THE BRICKMAN GROUP LTD LLC,18227-D FLOWER HILL WAY,,GAITHERSBURG,MD,20879,,,,408.687-014,"LABORER, LANDSCAPE",39,38,8.67,HR,8.67,HR
C-09292-46712,30-Oct-09,19-Oct-09,PARTIAL CERTIFIED,H-2B,NY,2-Feb-10,19-Nov-10,THE BRICKMAN GROUP LTD.,18227-D FLOWER HILL WAY,,GAITHERSBURG,MD,20879,,,,408.687-014,"LABORER, LANDSCAPE",25,15,,,,
C-09293-46733,30-Oct-09,20-Oct-09,PARTIAL CERTIFIED,H-2B,MD,2-Feb-10,19-Nov-10,THE BRICKMAN GROUP LTD LLC,18227-D FLOWER HILL WAY,,GAITHERSBURG,MD,20879,,,,406.684-014,"GROUNDSKEEPER, INDUSTRIAL COMMERCIAL",45,44,7.25,HR,7.25,HR
C-09314-47073,16-Nov-09,10-Nov-09,PARTIAL CERTIFIED,H-2B,MD,2-Feb-10,19-Nov-10,THE BRICKMAN GROUP LTD LLC,18227-D FLOWER HILL WAY,,GAITHERSBURG,MD,20879,,,,406.684-014,"GROUNDSKEEPER, INDUSTRIAL COMMERCIAL",40,37,9.8,HR,9.8,HR
C-09314-47074,17-Nov-09,10-Nov-09,PARTIAL CERTIFIED,H-2B,MD,2-Feb-10,19-Nov-10,THE BRICKMAN GROUP LTD LLC,18227-D FLOWER HILL WAY,,GAITHERSBURG,MD,20879,,,,408.687-014,"LABORER, LANDSCAPE",40,37,10.62,HR,10.62,HR
