CASE_NO,DECISION_DATE,NPC_SUBMITTED_DATE,CASE_STATUS,ALIEN_WORK_STATE,CERTIFICATION_BEGIN_DATE,CERTIFICATION_END_DATE,EMPLOYER_NAME,EMPLOYER_ADDRESS1,EMPLOYER_ADDRESS2,EMPLOYER_CITY,EMPLOYER_STATE,EMPLOYER_POSTAL_CODE,AGENT_ATTORNEY_NAME,AGENT_ATTORNEY_ADDRESS,AGENT_ATTORNEY_CITY,AGENT_ATTORNEY_STATE,JOB_TITLE,NBR_WORKERS_CERTIFIED,PREVAILING_WAGE,PW_UNIT_OF_PAY,BASIC_RATE_OF_PAY,BASIC_UNIT_OF_PAY
C-08310-40894,3/3/09,11/5/08,DENIED,IL,2/1/09,11/30/09,VITO DIPINTO LANDSCAPE CONTRACTORS INC.,803 NORTH AVENUE,,WAUKEGAN,IL,60085,"PENELOPE M. LECHTENBERG, ESQ.",HINSHAW & CULBERTSON LLP,ROCKFORD,IL,"LABORER, LANDSCAPE",0,8.13,HR,8.13,HR
C-08310-40895,12/29/08,11/5/08,PARTIAL CERTIFIED,NY,12/19/08,11/15/09,"FRANK JOSEPH AND SONS, INC. DBA JOLLY SHOWS",1411 COLONIAL MANOR COURT,,ANNAPOLIS,MD,21401,JAMES K. JUDKINS,32775 FM 106,RIO HONDO,TX,AMUSEMENT PARK WORKER,45,7.15,HR,7.15,HR
C-08310-40896,12/15/08,11/5/08,PARTIAL CERTIFIED,VA,2/2/09,12/1/09,"WHITE'S NURSERY & GREENHOUSES,  INC.",3133 OLD MILL RD.,,CHESAPEAKE,VA,23323,WORKFORCE ADVANTAGE / FERNANDO SAENZ,P.O. BOX 9168,RICHMOND,VA,"LABORER, LANDSCAPE",15,8.09,HR,8.09,HR
C-08310-40897,12/31/08,11/5/08,CERTIFIED,CT,2/1/09,12/1/09,EA QUINN LANDSCAPE CONTRACTING,109 COMMERCE STREET,,GLASTONBURY,CT,06033,WORKFORCE ADVANTAGE / FERNANDO SAENZ,P.O. BOX 9168,RICHMOND,VA,"LABORER, LANDSCAPE",15,10.18,HR,10.18,HR
C-08310-40898,1/23/09,11/4/08,DENIED,GA,11/15/08,7/1/09,"HOSPITALITY STAFFING SOLUTIONS, LLC",1640 POWERS FERRY ROAD,"BUILDING THREE, SUITE 200",ATLANTA,GA,30067,"ENRIQUE GONZALEZ,III / FRAGOMEN, DEL REY, BERNSEN&",ONE ALHAMBRA PLAZA SUITE 600,CORAL GABLES,FL,HOUSEKEEPER,0,6.81,HR,8,HR
C-08310-40899,12/31/08,11/5/08,CERTIFIED,IL,1/15/09,12/1/09,"O'DONOVAN'S & SON, INC.",29W561 STTE ROUTE34,,NAPERVILLE,IL,60540,"THERESA A. CORCORAN, ESQ.","KEMPSTER, KELLER & LENZ-CALVO,LTD.",CHICAGO,IL,"LABORER, LANDSCAPE",25,8.53,HR,8.54,HR
C-08310-40900,12/18/08,11/5/08,CERTIFIED,CT,2/1/09,12/1/09,"EASTERN LAND MANAGEMENT, INC.",226 SELLECK STREET- SUITE 8,,STAMFORD,CT,06902,WORKFORCE ADVANTAGE/FERNANDO SAENZ,PO BOX 9168,RICHMOND,VA,"LABORER, LANDSCAPE",20,9.65,HR,9.68,HR
C-08310-40901,11/5/08,11/5/08,CERTIFIED,NJ,1/1/09,10/15/09,"NASC , INC.",47 WATER STREET,,MYSTIC,CT,06355,NANCY SCARCELLA,SILK & CO.,CLEVELAND,OH,"COUNSELOR, CAMP",50,,,,
C-08310-40902,12/30/08,11/5/08,PARTIAL CERTIFIED,CO,2/2/09,11/30/09,SUPERIOR ROOFING INCORPORATED,14700 EAST 39TH AVENUE,,AURORA,CO,80011,"ANN ALLOTT, COLO. ATTY#3326-ALLOTT IMMIGRATION LAW","2305 E. ARAPAHOE RD., #100",CENTENNIAL,CO,CONSTRUCTION WORKER I,40,9.94,HR,9.94,HR
C-08310-40903,12/17/08,11/5/08,PARTIAL CERTIFIED,CO,2/2/09,9/30/09,AMERICAN CIVIL CONSTRUCTORS,1601 WEST BELLEVIEW,,LITTLETON,CO,80120,"ANN ALLOTT, COLO. ATTY #3326",ALLOTT IMMIGRATION LAW FIRM,CENTENNIAL,CO,"LABORER, LANDSCAPE",100,8.92,HR,8.92,HR
C-08310-40904,1/9/09,11/4/08,DENIED,GA,11/15/08,7/1/09,"HOSPITALITY STAFFING SOLUTIONS, LLC",1640 POWERS FERRY ROAD,"BUILDING THREE, SUITE 200",ATLANTA,GA,30067,"ENRIQUE GONZALEZ, III","FRAGOMEN, DEL REY, BERNSEN & LOEWY, LLP",CORAL GABLES,FL,ROOM SERVICE CLERK,0,8.04,HR,8.05,HR
C-08310-40905,1/23/09,11/5/08,PARTIAL CERTIFIED,CO,2/2/09,10/31/09,"JBK LANDSCAPE, INC.",1250 S. CHAMBERS ROAD,,AURORA,CO,80017,"ANN ALLOTT, COLO. ATTY REG. NO. 3326",ALLOTT IMMIGRATION LAW FIRM,CENTENNIAL,CO,"LABORER, LANDSCAPE",52,8.92,HR,8.92,HR
C-08310-40906,1/9/09,11/4/08,DENIED,GA,11/15/08,7/1/09,"HOSPITALITY STAFFING SOLUTIONS, LLC",1640 POWERS FERRY ROAD,"BUILDING THREE, SUITE 200",ATLANTA,GA,30067,"ENRIQUE GONZALEZ, III","FRAGOMEN, DEL REY, BERNSEN & LOEWY, LLP",CORAL GABLES,FL,LAUNDRY OPERATOR,0,7.05,HR,8,HR
C-08310-40907,11/25/08,11/5/08,PARTIAL CERTIFIED,MO,1/12/09,10/31/09,GIANT LABOR SOLUTIONS,607 WESTPORT ROAD  STE#700,,KANSAS CITY,MO,64111,GAIL A. GOEKE,P.O. BOX 34664,N. KANSAS CITY,MO,"CLEANER, HOUSEKEEPING",95,7.71,HR,7.71,HR
C-08310-40908,12/11/08,11/5/08,DENIED,NY,1/1/09,11/1/09,"A. QUIROS, INC.",118 MARINER DRIVE,,SOUTHAMPTON,NY,11968,LEONARD J. D'ARRIGO,WHITEMAN OSTERMAN & HANNA LLP,ALBANY,NY,STUCCO MASON,0,8.64,HR,9,HR
C-08310-40910,1/6/09,11/5/08,CERTIFIED,PA,2/13/09,12/10/09,"CEDAR   RUN   LANDSCAPES, INC.",1054 HORSHAM ROAD,,NORTH WALES,PA,19454,"MAS LABOR H2B, LLC  ELIZABETH WHITLEY",650 FRONT ST.,LOVINGSTON,VA,"GROUNDSKEEPER, INDUSTRIAL COMMERCIAL",11,9.4,HR,9.4,HR
C-08310-40911,1/5/09,11/5/08,CERTIFIED,PA,2/9/09,12/9/09,FRATANGELO GARDENS LANDSCAPING & NURSERY,1014 BROADHEAD ROAD,,MOON TOWNSHIP,PA,15108,"MAS LABOR H2B, LLC  ELIZABETH WHITLEY",650 FRONT ST.,LOVINGSTON,VA,"LABORER, LANDSCAPE",25,8.21,HR,8.21,HR
C-08310-40912,12/11/08,11/4/08,CERTIFIED,VA,2/2/09,12/1/09,"RITTER GROUNDS MAINTENANCE, INC.",3540 ARGONNE AVE.,,NORFOLK,VA,23509,WORKFORCE ADVANTAGE / FERNANDO SAENZ,P.O. BOX 9168,RICHMOND,VA,"LABORER, LANDSCAPE",10,8.09,HR,8.09,HR
C-08310-40913,12/17/08,11/5/08,CERTIFIED,VA,2/2/09,11/15/09,"MID-ATLANTIC TENNIS COURTS & SUPPLIES, INC.",4747 COCHRAN PLACE,,CENTREVILLE,VA,20120,"MAS LABOR H2B, LLC  ELIZABETH WHITLEY",650 FRONT ST.,LOVINGSTON,VA,CONSTRUCTION WORKER I,17,10.47,HR,10.47,HR
C-08310-40914,1/7/09,11/5/08,PARTIAL CERTIFIED,KS,2/13/09,11/30/09,"ARTISTIC DESIGNS LAWN & LANDSCAPE, INC.",P.O. BOX 850576,,SHAWNEE,KS,66286,"MIRA MDIVANI, ATTORNEY AT LAW",THE MDIVANI LAW FIRM,OVERLAND PARK,KS,"LABORER, LANDSCAPE",72,8.53,HR,8.53,HR
C-08310-40915,12/11/08,11/5/08,PARTIAL CERTIFIED,VA,2/2/09,11/30/09,LANDSCAPE SERVICES OF HAMPTON ROADS,873 CLEARFIELD AVE,P.O. BOX 15338,CHESAPEAKE,VA,23328,"MAS LABOR H2B , LLC, ELIZABETH  WHITLEY",,LOVINGSTON,VA,"LABORER, LANDSCAPE",10,8.09,HR,8.09,HR
C-08310-40916,12/11/08,11/5/08,CERTIFIED,LA,2/1/09,11/30/09,"HYDROSCAPES, LLC",17866 JEFERSON RIDGE ROAD,,BATON ROUGE,LA,70817,"AMIGOS LABOR SOLUTIONS, INC.","3141 HOOD ST., SUITE 440",DALLAS,TX,"LABORER, LANDSCAPE",15,7,HR,7.05,HR
C-08310-40917,12/29/08,11/5/08,PARTIAL CERTIFIED,VA,2/9/09,12/9/09,"KANE LAWN & LANDSCAPES, INC.",21505 GREENOAK WAY SUITE 200,,STERLING,VA,20166,ELIZABETH WHITLEY,"MAS LABOR H2B, LLC",LOVINGSTON,VA,"LABORER, LANDSCAPE",18,8.49,HR,8.65,HR
C-08310-40918,12/29/08,11/5/08,CERTIFIED,MO,2/10/09,12/10/09,"POYNTER LANDSCAPE CONSULTING, INC.",15815 JEDBERG LANE,,BALLWIN,MO,63021,"MASLABOR H2B, LLC ELIZABETH WHITLEY",650 FRONT ST.,LOVINGSTON,VA,"LABORER, LANDSCAPE",16,8.65,HR,8.65,HR
C-08310-40919,1/5/09,11/5/08,CERTIFIED,VA,2/13/09,12/13/09,"ROBBINS LANDSCAPING, INC.",9822 OLD CANNON ROAD,,RICHMOND,VA,23237,"MAS LABOR H2B , LLC",ELIZABETH  WHITLEY,LOVINGSTON,VA,"LABORER, LANDSCAPE",10,8.19,HR,8.19,HR
C-08310-40920,12/11/08,11/5/08,CERTIFIED,LA,2/2/09,11/30/09,"MILLER MASONRY, INC.",3821 DAY STREET,,HARVEY,LA,70058,"MASLABOR H2B, LLC",ELIZABETH WHITLEY,LOVINGSTON,VA,PATCHER HELPER,53,8.68,HR,9.7,HR
C-08310-40921,12/17/08,11/5/08,CERTIFIED,CO,2/2/09,11/15/09,WINDEMERE LANDSCAPE & GARDEN CENTER,1801 WEST LINCOLN AVE,,STEAMBOAT SPRINGS,CO,80487,"MASLABOR H2B, LLC ELIZABETH WHITLEY",650 FRONT ST.,LOVINGSTON,VA,"LABORER, LANDSCAPE",35,11.43,HR,11.43,HR
C-08310-40922,12/11/08,11/5/08,CERTIFIED,LA,2/1/09,11/30/09,"FIRST CHOICE LAWN CARE SERVICES, INC.",9466 PAXTON RD.,,SHREVEPORT,LA,71106,"AMIGOS LABOR SOLUTIONS, INC.","3141 HOOD ST., SUITE 440",DALLAS,TX,"LABORER, LANDSCAPE",23,7.86,HR,7.86,HR
C-08310-40923,2/20/09,11/4/08,DENIED,NY,2/2/09,12/2/09,"NORTHSTAR MASONRY, INC",18 VIOLA LANE,,HOLTSVILLE,NY,11742,FEDERATION OF EMPLOYERS AND WORKERS  OF AMERICA,2901 BUCKS BAYOU ROAD,BAY CITY,TX,"BRICKLAYER HELPER, FIREBRICK AND REFRACTORY TILE",0,9.26,HR,9.26,HR
C-08310-40924,12/11/08,11/5/08,CERTIFIED,LA,2/1/09,11/30/09,"SOUTHERN DESIGN IRRIGATION, LLC",2103 AMERICAN WAY,,"PORT ALLEN, WEST BATON ROUGE PARISH",LA,70767,"AMIGOS LABOR SOLUTIONS, INC.","3141 HOOD ST., SUITE 440",DALLAS,TX,"LABORER, LANDSCAPE",13,7,HR,7,HR
C-08310-40925,12/17/08,11/5/08,CERTIFIED,LA,2/1/09,11/30/09,D&C SEAFOOD,391 IDF ROAD,,VENICE,LA,70091,LINDA WHITE & ASSOC.,20791 E. RR  AVE.,LIVINGSTON,LA,PRODUCTION HELPER,3,8.11,HR,8.11,HR
C-08310-40926,1/9/09,11/5/08,DENIED,LA,12/1/08,7/1/09,"HOSPITALITY STAFFING SOLUTIONS, LLC",1640 POWERS FERRY ROAD,"BUILDING THREE, SUITE 200",ATLANTA,GA,30067,"ENRIQUE GONZALEZ, III / FRAGOMEN, DEL REY, BERNSEN",ONE ALHAMBRA PLAZA SUITE 600,CORAL GABLES,FL,"CLEANER, HOUSEKEEPING",0,6.52,HR,8,HR
C-08310-40927,1/6/09,11/5/08,PARTIAL CERTIFIED,KS,2/14/09,12/14/09,"TOPCARE LAWN SERVICE,INC.",10021 WOODEND ROAD,,EDWARDSVILLE,KS,66111,TONG (TONY) GAO,THE LAW OFFICE OF TONY T. GAO,ST. LOUIS,MO,"LABORER, LANDSCAPE",50,8.53,HR,8.53,HR
C-08310-40928,12/11/08,11/5/08,PARTIAL CERTIFIED,LA,2/1/09,11/30/09,"TOP TIER TURF AND ORNAMENTAL, LLC",5911 BURGUNDY AVE,,"BATON ROUGE, EAST BATON ROUGE PARISH",LA,70806,"AMIGOS LABOR SOLUTIONS, INC.","3141 HOOD ST., SUITE 440",DALLAS,TX,"LABORER, LANDSCAPE",10,7,HR,7.02,HR
C-08310-40929,1/9/09,11/5/08,DENIED,LA,2/1/09,11/30/09,"HUTCO, INC",100 COMMISSION BLVD.,,LAFAYETTE,LA,70508,"AMIGOS LABOR SOLUTIONS,INC","3141 HOOD STREET, SUITE 440",DALLAS,TX,PRODUCTION HELPER,0,8.7,HR,8.7,HR
C-08310-40930,12/11/08,11/5/08,CERTIFIED,LA,2/1/09,11/30/09,"LANDSCAPE MANAGEMENT SERVICES, INC.",5005 COBRA ROAD,,LAKE CHARLES,LA,70606,"AMIGOS LABOR SOLUTIONS, INC.","3141 HOOD ST., SUITE 440",DALLAS,TX,"LABORER, LANDSCAPE",18,7.26,HR,7.28,HR
C-08310-40931,11/25/08,11/5/08,CERTIFIED,LA,2/1/09,12/1/09,"LOUISIANA BLUE CRAB, L.L.C.",16505 LIONEL RD,,ABBEVILLE,LA,70510,JACKIE MITCHELL,3939 TWELVE OAKS AVENUE,BATON ROUGE,LA,SHRIMP PEELING MACHINE OPERATOR,20,6.48,HR,7,HR
C-08310-40932,1/9/09,11/5/08,DENIED,LA,2/1/09,11/30/09,"HUTCO, INC.",100 COMMISSION BLVD,,LAFAYETTE,LA,70508,"AMIGOS LABOR SOLUTIONS, INC.","3141 HOOD STREET, SUITE 440",DALLAS,TX,WELDER FITTER,0,14.69,HR,14.7,HR
C-08310-40933,1/5/09,11/5/08,PARTIAL CERTIFIED,MA,2/13/09,12/13/09,RIVERSIDE TREE & LANDSCAPE COMPANY,24 YALE STREET,,ASHLAND,MA,01721,ELIZABETH WHITLEY,"MAS LABOR H2B, LLC",LOVINGSTON,VA,"LABORER, LANDSCAPE",52,11.69,HR,11.69,HR
C-08310-40934,1/29/09,11/4/08,DENIED,NY,2/15/09,12/15/09,J & J CUSTOM MASONRY,1724A COUNTY ROAD 39,,SOUTHHAMPTON,NY,11968,MELINDA A. RUBIN,"1 JACKSON AVENUE SOUTH, BUILD 1",HAMPTON BAYS,NY,"BRICKLAYER HELPER, FIREBRICK AND REFRACTORY TILE",0,9.26,HR,11.02,HR
C-08310-40935,12/11/08,11/5/08,CERTIFIED,LA,2/1/09,11/30/09,ENGLISH TURN,ONE CLUB HOUSE DRIVE,,NEW ORLEANS,LA,70131,"AMIGOS LABOR SOLUTIONS, INC.","3141 HOOD ST., SUITE 440",DALLAS,TX,"LABORER, LANDSCAPE",33,7.86,HR,7.86,HR
C-08310-40936,1/9/09,11/5/08,DENIED,LA,2/1/09,11/30/09,"HUTCO, INC.",100 COMMISSION BLVD,,LAFAYETTE,LA,70508,"AMIGOS LABOR SOLUTIONS,INC.","3141 HOOD STREET, SUITE 440",DALLAS,TX,WELDER FITTER,0,15.26,HR,15.26,HR
C-08310-40937,12/11/08,11/5/08,CERTIFIED,LA,2/1/09,11/30/09,"LANDRY'S PROFESSIONAL LAWN & LANDSCAPE, INC.",8943 BUZBEE DRIVE,,BATON ROUGE,LA,70809,"AMIGOS LABOR SOLUTIONS, INC.",3141 HOOD ST.,DALLAS,TX,"LABORER, LANDSCAPE",36,7,HR,7,HR
C-08310-40938,1/5/09,11/4/08,PARTIAL CERTIFIED,AL,2/10/09,11/20/09,KISSEL ENTERTAINMENT LLC,P.O. BOX 2340,17606 US HWY 31 N.,CLANTON,AL,35046,TESS HARRISON,32775 FM 106,RIO HONDO,TX,AMUSEMENT PARK WORKER,35,7.56,HR,7.56,HR
C-08310-40939,1/5/09,11/5/08,CERTIFIED,VA,2/13/09,12/13/09,"WHEAT'S LAWN & CUSTOM LANDSCAPE, INC.",8620 PARK STREET,,VIENNA,VA,22180,"MAS LABOR H2B, LLC  ELIZABETH WHITLEY",650 FRONT ST.,LOVINGSTON,VA,PESTICIDE CONTROL INSPECTOR,10,11.08,HR,11.08,HR
C-08310-40940,12/18/08,11/4/08,PARTIAL CERTIFIED,MA,2/1/09,11/15/09,"GILLETTE SHOWS, INC.",291 PECKS ROAD,,PITTSFIELD,MA,01201,JAMES K. JUDKINS,32775 FM 106,RIO HONDO,TX,AMUSEMENT PARK WORKER,60,8.08,HR,8.08,HR
C-08310-40941,12/17/08,11/5/08,CERTIFIED,CO,2/2/09,12/2/09,LMI LANDSCAPES INC,8501 QUEBEC ST,,COMMERCE CITY,CO,80022,FEDERATION OF EMPLOYERS AND WORKERS  OF AMERICA,2901 BUCKS BAYOU ROAD,BAY CITY,TX,"LABORER, LANDSCAPE",50,8.96,HR,8.96,HR
C-08310-40942,12/11/08,11/5/08,CERTIFIED,VA,2/2/09,12/1/09,UNITED TURF OF VA LLC,5404 STUDELEY AVE,,NORFOLK,VA,23508,WORKFORCE ADVANTAGE / FERNANDO SAENZ,P.O. BOX 9168,RICHMOND,VA,"LABORER, LANDSCAPE",8,8.09,HR,8.09,HR
C-08311-40943,12/16/08,11/6/08,CERTIFIED,VT,11/15/08,6/15/09,VERMONT HOME SERVICES INC.,P.O. BOX 663,,BONDVILLE,VT,05340,,,,,JANITOR,10,9.23,HR,10,HR
C-08311-40944,12/17/08,11/6/08,CERTIFIED,FL,2/1/09,12/1/09,"SEASONAL SOLUTIONS, LLC",4652 BRIAR GATE DRIVE,,ST. CHARLES,MO,63304,WILLIAM P. VELIE,210 EAST MAIN STREET,NORMAN,OK,"CLEANER, HOUSEKEEPING",50,7.22,HR,7.22,HR
C-08311-40945,12/19/08,11/6/08,CERTIFIED,FL,2/13/09,12/13/09,"GRASS ROOTS LAWN & LANDSCAPE, INC.",P. O . BOX 5400,,NICEVILLE,FL,32578,"MAS LABOR H2B , LLC",ELIZABETH  WHITLEY,LOVINGSTON,VA,"LABORER, LANDSCAPE",12,8.03,HR,8.03,HR
C-08311-40946,12/31/08,11/6/08,PARTIAL CERTIFIED,PA,2/9/09,12/11/09,DOUGHERTY LANDSCAPING INC.,321 MAPLE  AVENUE,,HORSHAM,PA,19044,MICHELLE SKOLE LAW OFFICE OF MICHELLE SKOLE,3036 ALDEN COURT,BENSALEM,PA,"LABORER, LANDSCAPE",11,9.4,HR,9.4,HR
C-08311-40947,1/6/09,11/6/08,CERTIFIED,FL,2/5/09,11/5/09,"XDL SERVICES, LLC D/B/W BEST & QUICK CLEANING SERV",6154 WESTGATE DR SUITE # 104,,ORLANDO,FL,32835,,,,,JANITOR,43,7.65,HR,7.9,HR
C-08311-40948,11/18/08,11/6/08,CERTIFIED,CO,1/1/09,10/31/09,DEL VALLE MEAT MARKET,500 RED TABLE DRIVE,,GYPSUM,CO,81631,SUAME CORP.,1122 E. BUCKEYE RD. B8,PHOENIX,AZ,MEAT CUTTER,10,18.13,HR,18.13,HR
C-08311-40949,12/11/08,11/6/08,PARTIAL CERTIFIED,DE,2/3/09,11/30/09,"THE BRICKMAN GROUP, LTD",18227-D FLOWER HILL WAY,,GAITHERSBURG,MD,20879,,,,,"LABORER, LANDSCAPE",35,8.65,HR,8.65,HR
C-08311-40950,12/31/08,11/6/08,CERTIFIED,PA,2/6/09,12/6/09,DERSTINE LANDSCAPING,511 CHERRY ROAD,,SOUDERTON,PA,18964,FEDERATION OF EMPLOYERS AND WORKERS OF AMERICA,2901 BUCKS BAYOU ROAD,BAY CITY,TX,"LABORER, LANDSCAPE",25,9.4,HR,9.4,HR
C-08311-40951,12/11/08,11/6/08,PARTIAL CERTIFIED,DE,2/3/09,11/30/09,"THE BRICKMAN GROUP, LTD.",18227- D FLOWER HILL WAY,,GAITHERBURG,MD,20879,,,,,"LABORER, LANDSCAPE",35,9.11,HR,9.11,HR
C-08311-40952,1/7/09,11/6/08,PARTIAL CERTIFIED,AR,12/15/08,5/31/09,"ALPHA ENVIRONMENTAL, LLC",1141 N. 3RD ST.,,COEUR D' ALENE,ID,83814,"AG WORKS, INC.",C/O GEORGE H. WYNN,LAKE PARK,GA,FOREST WORKER,150,8.69,HR,8.69,HR
C-08311-40953,1/5/09,11/6/08,PARTIAL CERTIFIED,FL,2/13/09,12/13/09,"NANAK'S LANDSCAPING GROUNDS MAINTENANCE, INC. - TA",1174 FLORIDA CENTRAL PARKWAY,,LONGWOOD,FL,32750,"MASLABOR H2B, LLC ELIZABETH WHITLEY",650 FRONT ST.,LOVINGSTON,VA,"LABORER, LANDSCAPE",75,8.11,HR,8.11,HR
C-08311-40954,12/17/08,11/6/08,CERTIFIED,PA,2/2/09,11/30/09,WOODLOCH PINES,RR1 PO BOX 280,,HAWLEY,PA,18428,"INTERNATIONAL LABOR MANAGEMENT SARAH FARRELL ET.,A",234 CAMERON AVE,VASS,NC,KITCHEN HELPER,10,7.15,HR,7.69,HR
C-08311-40956,12/2/08,11/6/08,PARTIAL CERTIFIED,PA,2/2/09,11/30/09,"GORECON, INC.",4095 FERRY ROAD SUITE 1C,,DOYLESTOWN,PA,18901,WORKFORCE ADVANTAGE/  FERNANDO SAENZ,PO BOX 9168,RICHMOND,VA,"LABORER, LANDSCAPE",30,9.4,HR,9.4,HR
C-08311-40957,1/5/09,11/6/08,PARTIAL CERTIFIED,FL,2/13/09,12/13/09,"NANAK'S LANDSCAPING GROUNDS MAINTENANCE, INC. - OR",1174 FLORIDA CENTRAL PARKWAY,,LONGWOOD,FL,32750,"MASLABOR H2B, LLC ELIZABETH WHITLEY",650 FRONT ST.,LOVINGSTON,VA,"LABORER, LANDSCAPE",65,8.79,HR,8.79,HR
C-08311-40958,2/20/09,11/6/08,DENIED,PA,2/2/09,12/4/09,LANKFORD LANDSCAPING L.L.C.,P.O. BOX 306,(OFFICE LOACATION 416 KANSAS ROAD),WARRINGTON,PA,18976,MICHELLE SKOLE LAW OFFICE OF MICHELLE SKOLE,3036 ALDEN COURT,BENSALEM,PA,"LABORER, LANDSCAPE",0,9.4,HR,9.4,HR
C-08311-40959,1/5/09,11/6/08,PARTIAL CERTIFIED,FL,2/13/09,12/13/09,"NANAK'S LANDSCAPING GROUNDS MAINTENANCE, INC. - JA",1174 FLORIDA CENTRAL PARKWAY,(P.O. BOX 521085),LONGWOOD,FL,32750,"MASLABOR H2B, LLC ELIZABETH WHITLEY",650 FRONT ST.,LOVINGSTON,VA,"LABORER, LANDSCAPE",85,8.06,HR,8.3,HR
C-08311-40960,12/17/08,11/6/08,CERTIFIED,MO,2/1/09,11/30/09,"DOCTOR'S AT THE LAKE, INC.",606 STATE ROAD TT,,SUNRISE BEACH,MO,65079,FEDERATION OF EMPLOYERS AND WORKERS OF AMERICA,2901 BUCKS BAYOU ROAD,BAY CITY,TX,"LABORER, LANDSCAPE",25,7.99,HR,7.99,HR
C-08311-40961,2/4/09,11/6/08,DENIED,FL,12/1/08,9/30/09,CHEECA LODGE & SPA,81801 OVERSEAS HIGHWAY,,ISLAMORDIA,FL,33036,"ALLEN MARRA, ATTORNEY-AT-LAW",564 WILLIAM ST,EAST ORANGE,NJ,WAITER/WAITRESS,0,7.04,HR,7.1,HR
C-08311-40962,2/20/09,11/6/08,DENIED,PA,2/2/09,12/4/09,GALBALLY LANDSCAPING INC.,985 DAVISVILLE ROAD,,WILLOW GROVE,PA,19090,MICHELLE SKOLE LAW OFFICE OF MICHELLE SKOLE,3036 ALDEN COURT,BENSALEM,PA,"LABORER, LANDSCAPE",0,9.4,HR,9.4,HR
C-08311-40963,12/18/08,11/6/08,CERTIFIED,KY,2/1/09,11/30/09,HILLENMEYER NURSERIES INC (DBA) STEPHEN HILLENMEYE,2337 SANDERSVILLE RD.,,LEXINGTON,KY,40511,FEDERATION OF EMPLOYERS AND WORKERS OF AMERICA,2901 BUCKS BAYOU ROAD,BAY CITY,TX,"LABORER, LANDSCAPE",100,8.27,HR,8.27,HR
C-08311-40964,1/9/09,11/6/08,CERTIFIED,PA,2/15/09,9/30/09,"AMERICAN POOL ENTERPRISES, INC.",11408 CRONRIDGE DRIVE,SUITE F,OWINGS MILLS,MD,21117,,,,,RECREATION FACILITY ATTENDANT,100,7.15,HR,7.58,HR
C-08311-40965,12/11/08,11/6/08,PARTIAL CERTIFIED,TX,2/1/09,11/30/09,TCI ROOFING INC,2412 WILLOW ST,,MISSION,TX,78574,FEDERATION OF EMPLOYERS AND WORKERS OF AMERICA,2901 BUCKS BAYOU ROAD,BAY CITY,TX,CONSTRUCTION WORKER II,30,7.39,HR,7.39,HR
C-08311-40966,1/21/09,11/6/08,PARTIAL CERTIFIED,PA,2/2/09,12/2/09,"ELEGANT LAWN CARE, INC.",618 BANGOR ROAD,,EASTON,PA,18042,"H-2B LABOR SOLUTIONS, LLC/LUISA RAMIREZ",57 STILES LANE,PINE BROOK,NJ,"LABORER, LANDSCAPE",20,8.63,HR,9.5,HR
C-08311-40967,11/6/08,11/6/08,CERTIFIED,UT,1/2/09,10/31/09,"HORIZON STUCCO, PLASTERING & EXTERIORS, INC.",966 WEST 1060 SOUTH,,HEBER,UT,84032,JAMES ALCALA,"ALCALA LAW FIRM, PC.",SALT LAKE CITY,UT,CONSTRUCTION WORKER I,20,6.35,HR,6.55,HR
C-08311-40968,1/23/09,11/6/08,DENIED,FL,2/1/09,12/1/09,HOSPITALITY & CATERING MANAGEMENT SERVICES,"980 N. MICHIGAN  AVE, SUITE 1080",,CHICAGO,IL,60611,"MICHAEL X. HARTOLFELIS, ESQ. LOMA USA, INC","40-12 31ST AVE, SUITE1",ASTORIA,NY,FAST FOODS WORKER,0,7.06,HR,7.06,HR
C-08311-40969,12/11/08,11/6/08,PARTIAL CERTIFIED,TX,2/2/09,12/2/09,LMI LANDSCAPES INC - TX,1437 HALSEY WAY,,CARROLLTON,TX,75007,FEDERATION OF EMPLOYERS AND WORKERS OF AMERICA,2901 BUCKS BAYOU ROAD,BAY CITY,TX,"LABORER, LANDSCAPE",80,7.71,HR,7.71,HR
C-08311-40970,11/6/08,11/6/08,CERTIFIED,UT,1/2/09,10/31/09,HOBBLE CREEK MASONRY,2067 E. 700 S.,,SPRINGVILLE,UT,84663,JAMES ALCALA,"ALCALA LAW FIRM, PC.",SALT LAKE CITY,UT,CONSTRUCTION WORKER I,8,9.58,HR,9.58,HR
C-08311-40971,12/17/08,11/6/08,CERTIFIED,VA,2/1/09,11/30/09,SUN VENTURES INC.,607 COPELAND DRIVE,,HAMPTON,VA,23661,,,,,"LABORER, LANDSCAPE",51,8.09,HR,8.09,HR
C-08311-40972,12/17/08,11/6/08,CERTIFIED,TX,2/2/09,12/1/09,"JD'S MAKIT GREEN, INC.",2535 DRAIN RD.,,WYLIE,TX,75098,"ROBERT D. KERSHAW, THE LAW OFFICE OF ROBERT KERSHA",3355 BEE CAVES RD. STE. 307,AUSTIN,TX,"GROUNDSKEEPER, INDUSTRIAL COMMERCIAL",21,7.67,HR,9.5,HR
